,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
73,0.024347,0.019221,0.002563,0.0,0.0,0.0,0.0,0.002563,0.016658,0.01922
74,0.021784,0.016658,0.001282,0.0,0.0,0.0,0.0,0.002563,0.01794,0.016657
75,0.023065,0.01794,0.002563,0.0,0.0,0.0,0.0,0.003845,0.016658,0.017939
76,0.023065,0.019221,0.001282,0.0,0.0,0.0,0.0,0.003845,0.01794,0.016657
77,0.024347,0.016658,0.002563,0.0,0.0,0.0,0.0,0.003845,0.016658,0.01922
78,0.024347,0.01794,0.002563,0.0,0.0,0.001281,0.0,0.003845,0.01794,0.01922
79,0.023065,0.016658,0.002563,0.0,0.0,0.001281,0.0,0.002563,0.016658,0.01922
80,0.021784,0.016658,0.002563,0.0,0.0,0.001281,0.0,0.002563,0.01794,0.017939
81,0.021784,0.019221,0.003845,0.0,0.0,0.0,0.001281,0.003845,0.016658,0.017939
82,0.023065,0.016658,0.002563,0.0,0.0,0.001281,0.0,0.003845,0.016658,0.01922
83,0.021784,0.016658,0.0,0.0,0.0,0.0,0.0,0.002563,0.014096,0.016657
84,0.024347,0.019221,0.001282,0.0,0.0,0.0,0.001281,0.003845,0.019221,0.020501
85,0.023065,0.016658,0.001282,0.0,0.0,0.0,0.0,0.001282,0.016658,0.01922
